ID,Ref,Tidning,Hemisphere,Lat midpoint,Lat(abs),Lat range,exakt long,system,habitat,organisms,group,trophic position,dispersal type ,living type,log body size,parasites,method,Level,regression,N(loglog),Rztransfrom(loglog),Var rz(loglog),log c(loglog),Area(scala)loglog,log c(m2)(loglog),Slope z(loglog),zSE(loglog),zSEsq(loglog),log minAm2,log maxAm2,log meanAm2
102,Blake 1986,The Wilson Bulletin 98: 291-296,northern,40,40,,-89,terrestrial,forest,breeding birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,14,0.501123153,0.090909091,1.675,ha,1.439,0.059,0.032,0.001024,4.255272505,6.77815125,5.854129859
103,Blake 1987,The Wilson Bulletin 99: 243-252,northern,40,40,,-89,terrestrial,forest,total birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,5,1.516011137,0.5,0.817,ha,0.069,0.187,0.05,0.0025,4.231214648,6.722402731,6.078438692
104,Blake 1987,The Wilson Bulletin 99: 243-252,northern,40,40,,-89,terrestrial,forest,permanent resident birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,5,1.44150359,0.5,0.645,ha,-0.103,0.187,0.054,0.002916,4.260309946,6.71465494,6.069782759
105,Blake 1987,The Wilson Bulletin 99: 243-252,northern,40,40,,-89,terrestrial,forest,total birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,10,1.431629261,0.142857143,0.841,ha,-0.079,0.23,0.041,0.001681,4.277838333,6.78451031,5.878883557
106,Blake 1987,The Wilson Bulletin 99: 243-252,northern,40,40,,-89,terrestrial,forest,permanent resident birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,11,0.913902365,0.125,0.721,ha,-0.035,0.189,0.06,0.0036,4.269512944,6.798349504,5.848915414
107,Boecklen 1986,J of Biogeography 11: 59-68,,,,,,terrestrial,forest,breeding birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,34,0.607291446,0.032258065,0.737,ha,-1.207,0.486,,,4.748188027,5.378397901,
108,Bolger et al 1991,Am Nat 137: 155-166,northern,33,33,,-117,terrestrial,forest,chaparral specialist birds,birds,omnivores,flying,flying,1.967948925,no,independent,,log-log,37,1.390023625,0.029411765,0.134630418,ha,-1.309369582,0.361,,,3.397940009,5.875061263,
109,Bolger et al 1991,Am Nat 137: 155-166,northern,33,33,,-117,terrestrial,forest,chaparral specialist birds,birds,omnivores,flying,flying,1.967948925,no,independent,,log-log,8,1.250872559,0.2,0.277512377,ha,-0.258487623,0.134,,,3.096910013,5.698970004,
110,Bond et al 1988,Oecologia 77: 515-521,southern,-33.875,33.875,0.75,23,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,independent,A2b,log-log,10,2.554988869,0.142857143,1.019,ha,-0.669,0.422,0.023,0.000529,3.698970004,6.826074803,5.996073654
111,Bowers 1982,Great Basin Naturalist 42: 589-596,northern,41,41,,-112.5,terrestrial,islands,nonvolant mammals,mammals,omnivores,mobility,mobile,2.903089987,no,independent,A2b,log-log,9,0.918105616,0.166666667,0.34,ha,-0.32,0.165,0.059,0.003481,3.301029996,8.849830171,7.953121549
112,Brashares et al 2001,Proc R Soc Lond B 268: 2473-2478,northern,7.5,7.5,,3,terrestrial,,large mammals,mammals,omnivores,mobility,mobile,5.301029996,no,independent,,log-log,6,0.86926401,0.333333333,1.198,km2,0.754,0.074,0.038,0.001444,7.763427994,9.684845362,9.262767321
113,Brashares et al 2001,Proc R Soc Lond B 268: 2473-2478,northern,7.5,7.5,,3,terrestrial,,large mammals,mammals,omnivores,mobility,mobile,5.301029996,no,independent,,log-log,6,1.721138704,0.333333333,0.239,km2,-1.495,0.289,0.054,0.002916,7.763427994,9.684845362,9.262767321
114,Briceño 1992,Bresenia 38: 71-75,,,,,,terrestrial,,Dermaptera,insects,omnivores,mobility,mobile,-2.6989,no,independent,,log-log,17,0.382642354,0.071428571,2.071,km2,2.551,-0.08,0.053,0.002809,10.32522823,12.95437698,12.21220892
115,Briggs 1996,Conservation Biology 10: 713-718,,,,,,water,marine,"echinoderms, molluscs, large crustaceans, reef corals, fishes",zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,4,1.704748092,1,0.056,km2,-3.49,0.591,0.157,0.024649,11.58287775,12.81497071,12.32577932
116,Brooks et al 1999,J Animal Ecology 68: 1061-1078,southern,-15,15,10,,terrestrial,islands,endemic birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,18,0.941694896,0.066666667,-0.674,km2,-3.164,0.415,0.095,0.009025,9.548266545,11.86821051,11.03500044
117,Brooks et al 1999,J Animal Ecology 68: 1061-1078,southern,-15,15,10,,terrestrial,islands,endemic mammals,mammals,omnivores,mobility,mobile,2.8619,no,independent,,log-log,18,1.068776975,0.066666667,-2.105,km2,-6.125,0.67,0.13,0.0169,9.548266545,11.86821051,11.03499643
118,Brown & Dinsmore 1988,Oecologia 75: 426-429,northern,43,43,,-94,terrestrial,non-forest,breeding birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,60,1.162953264,0.01754386,0.781,ha,-0.139,0.23,0.021,0.000441,3.301029996,6.260071388,5.335197045
119,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,38.5,38.5,5,,terrestrial,non-forest,,mammals,omnivores,mobility,mobile,2.8619,no,independent,,log-log,17,1.162953264,0.071428571,-0.463,km2,-3.037,0.429,,,,,8.932430637
120,Kodric-Brown & Brown 1993,"from Kodric-Brown & Brown 1993, Ecological Applications 3: 736-742",,,,,,terrestrial,,mammals,mammals,omnivores,mobility,mobile,2.8619,no,independent,A2b,log-log,19,1.190269352,0.0625,-0.744727495,km2,-2.784727495,0.34,,,6.698970004,8.698970004,
121,Browne et al. 1993,Tropical Zoology 6: 27-53,northern,24.5,24.5,7,,terrestrial,islands,"longhorn beetles (Coleoptera, Cerambycidae)",insects,herbivores,flying,flying,-0.351,no,independent,,log-log,14,0.137866901,0.090909091,0.71,km2,0.17,0.09,0.188,0.035344,7.361727836,9.769967801,8.900796294
122,Brunet & Medellín 2001,J of Mammalogy 82: 1114-1122,northern,20.13,20.13,,-97.4,terrestrial,,bats,mammals,omnivores,flying,flying,1.113943352,no,independent,,log-log,20,0.792813632,0.058823529,-0.15,m2,-0.15,0.313,0.084,0.007056,1.255272505,3.478422188,2.56205483
123,Brändle & Brandl 2001,J Animal Ecology 70: 491-504,,,,,,terrestrial,forest,mites & insects,arthropods,omnivores,mobility,mobile,-2.723,no,,,log-log,20,0.606983185,0.058823529,-2.765,trees/10*10 km grids,,1.458,0.533,0.284089,,,
124,Brändle & Brandl 2001,J Animal Ecology 70: 491-504,,,,,,terrestrial,forest,mites & insects,arthropods,omnivores,mobility,mobile,-2.723,no,,,log-log,25,1.115505787,0.045454545,-4.076,trees/11*11 km grids,,1.897,0.29,0.0841,,,
125,Brönmark et al 1984,Hydrobiologia 112: 73-79,northern,55,55,,15,water,streams,macroinvertebrates,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,22,0.844148244,0.052631579,1.114,10^3 m2,0.565,0.183,0.043,0.001849,2,4.10720997,3.523864646
126,Buckton & Ormerod 2002,Freshwater Biology 47: 695-709,,,,,,water,streams,riverine birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,7,0.656455908,0.25,-6.666,km2,-12.882,1.036,0.658,0.432964,12.9318137,13.63956617,13.32898067
127,Cafaro 2002,Fungal Diversity 9: 47-56,,,,,,terrestrial,,Trichomycetes,Fungi,,transfer,parasite,,yes,,,log-log,16,1.946574883,0.076923077,-2.3366,m2,-2.3366,0.5554,,,,,
128,Cafaro 2002,Fungal Diversity 9: 47-56,,,,,,terrestrial,,Arthropod host,arthropods,herbivores,,mobile,-2.301029996,no,,,log-log,16,1.943920806,0.076923077,-2.8549,m2,-2.8549,0.6703,,,6.399673721,11.19126334,
129,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,45.39,45.39,0.01,,water,lakes,protozoans,zooplankton,microbivores,passive,plankton,-9.414,no,,,log-log,10,0.61694875,0.142857143,0.946,okänd,,0.075,,,,,
130,Cao et al. 2002 A,Ecol Monogr 72: 41-56,northern,17,17,,-87,water,marine,invertebrates,zoobenthos,omnivores,mobility,mobile,-1.584,no,nested,,log-log,30,2.272912254,0.037037037,1.395,m2,1.395,0.249,0.01,0.0001,-2.045757491,0.035429738,-0.298257703
131,Cao et al. 2002 B,Ecol Monogr 72: 41-56,northern,17,17,,-87,water,marine,invertebrates,zoobenthos,omnivores,mobility,mobile,-1.584,no,nested,,log-log,30,1.985655641,0.037037037,1.627,m2,1.627,0.349,0.018,0.000324,-1.567030709,0.194236749,-0.235867153
132,Cao et al. 2002 C,Ecol Monogr 72: 41-56,northern,17,17,,-87,water,marine,invertebrates,zoobenthos,omnivores,mobility,mobile,-1.584,no,nested,,log-log,34,2.323459034,0.032258065,1.63,m2,1.63,0.427,0.015,0.000225,-2.045757491,0.135132651,-0.268906778
133,Cao et al. 2002 D,Ecol Monogr 72: 41-56,northern,17,17,,-87,water,marine,invertebrates,zoobenthos,omnivores,mobility,mobile,-1.584,no,nested,,log-log,40,1.842138521,0.027027027,1.693,m2,1.693,0.328,0.017,0.000289,-2.045757491,0.135132651,-0.217940173
134,Cao et al. 2002 E,Ecol Monogr 72: 41-56,northern,62,62,,29,water,lakes,invertebrates,zoobenthos,omnivores,mobility,mobile,-1.584,no,nested,,log-log,24,3.800201167,0.047619048,1.443,m2,1.443,0.501,0.005,0.000025,-1.55129368,-0.15864053,-0.441388408
135,Cao et al. 2002 F,Ecol Monogr 72: 41-56,northern,62,62,,29,water,lakes,invertebrates,zoobenthos,omnivores,mobility,mobile,-1.584,no,nested,,log-log,25,3.453377389,0.045454545,1.023,m2,1.023,0.246,0.003,0.000009,-1.55129368,-0.138465589,-0.425715788
136,Cao et al. 2002 G,Ecol Monogr 72: 41-56,northern,62,62,,29,water,lakes,invertebrates,zoobenthos,omnivores,mobility,mobile,-1.584,no,nested,,log-log,25,3.453377389,0.045454545,1.107,m2,1.107,0.251,0.004,0.000016,-1.55129368,-0.140861703,-0.425901642
137,Cao et al. 2002 H,Ecol Monogr 72: 41-56,northern,62,62,,29,water,lakes,invertebrates,zoobenthos,omnivores,mobility,mobile,-1.584,no,nested,,log-log,25,2.994480708,0.045454545,1.359,m2,1.359,0.442,0.009,0.000081,-1.55129368,-0.140861703,-0.424787565
138,Cao et al. 2002 I,Ecol Monogr 72: 41-56,northern,62,62,,29,water,lakes,invertebrates,zoobenthos,omnivores,mobility,mobile,-1.584,no,nested,,log-log,25,2.646652412,0.045454545,1.442,m2,1.442,0.449,0.014,0.000196,-1.55129368,-0.138465589,-0.423676347
139,Cao et al. 2002 J,Ecol Monogr 72: 41-56,northern,53,53,,-1,water,streams,macro invertebrates,zoobenthos,omnivores,mobility,mobile,-1.584,no,nested,,log-log,24,3.250394522,0.047619048,0.921,m2,0.921,0.171,0.003,0.000009,0.283301229,1.681241237,1.398039442
140,Cao et al. 2002 K,Ecol Monogr 72: 41-56,northern,53,53,,-1,water,streams,macro invertebrates,zoobenthos,omnivores,mobility,mobile,-1.584,no,nested,,log-log,24,3.106303048,0.047619048,0.887,m2,0.887,0.296,0.006,0.000036,0.283301229,1.681241237,1.397244783
141,Cao et al. 2002 L,Ecol Monogr 72: 41-56,northern,53,53,,-1,water,streams,macro invertebrates,zoobenthos,omnivores,mobility,mobile,-1.584,no,nested,,log-log,24,3.453377389,0.047619048,0.895,m2,0.895,0.403,0.006,0.000036,0.283301229,1.681241237,1.397443617
142,Capogreco 1989,Melsheimer Entomol Ser 37: 1-8,northern,40.9,40.9,,-77.8,terrestrial,forest,woodland carabids,insects,omnivores,flying,flying,-0.351,no,independent,,log-log,8,1.082163437,0.2,0.571,ha,0.003,0.142,0.044,0.001936,2,6.698970004,5.810541658
143,Capogreco 1989,Melsheimer Entomol Ser 37: 1-8,northern,40.9,40.9,,-77.8,terrestrial,forest,total carabids,insects,omnivores,flying,flying,-0.351,no,independent,,log-log,8,0.299658432,0.2,0.939,ha,0.775,0.041,0.055,0.003025,2,6.698970004,5.810541658
144,Cardillo 2002,Global Ecol Biogeogr 11: 59-65,northern,31,31,60,,terrestrial,,breeding land birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,9,0.210035,0.166666667,-5.902,km2,-15.502,1.6,2.861,8.185321,11.08755073,11.21436692,11.16015828
145,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,20.55,20.55,3.5,,terrestrial,islands,insects,insects,omnivores,flying,flying,-2.301,no,independent,,log-log,7,1.027739144,0.25,-1.694,km2,-8.486,1.132,,,,,9.373700562
146,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,20.55,20.55,3.5,,terrestrial,islands,vascular plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,7,1.07946334,0.25,-0.018,km2,-3.522,0.584,,,,,9.373700562
147,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,57.24,57.24,22.47,,terrestrial,islands,seabirds,birds,carnivores,flying,flying,2.6505,no,independent,,log-log,10,0.36772478,0.142857143,0.817,km2,0.055,0.127,,,,,9.323334825
148,Carter-Lovejoy 1982,Great Basin Naturalist 42: 113-119,northern,43.5,43.5,,-113.5,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,independent,A2b,log-log,14,0.512640508,0.090909091,1.503,ha,1.119,0.096,0.052,0.002704,3.204119983,4.556302501,4.167949998
149,Carter-Lovejoy 1982,Great Basin Naturalist 42: 113-119,northern,43.5,43.5,,-113.5,terrestrial,non-forest,mammals,mammals,omnivores,mobility,mobile,2.8619,no,independent,A2b,log-log,14,0.653468041,0.090909091,0.645,ha,0.029,0.154,0.063,0.003969,3.204119983,4.556302501,4.167949998
150,Casas-Andreu 1992,Anales Inst Biol Univ Nac Autón México Ser Zool 63:95-112,northern,21,21,,-106,terrestrial,islands,herpetofauna (amphibians&reptilian),vertebrates,omnivores,mobility,mobile,2.517998945,no,independent,A2b,log-log,6,1.127029026,0.333333333,0.75,km2,-0.51,0.21,0.076,0.005776,5.84509804,8.158362492,7.641275757
151,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,27,27,6,,terrestrial,islands,lizards,reptiles,omnivores,mobility,mobile,1.528,no,independent,,log-log,24,0.791043906,0.047619048,0.447,km2,-0.549,0.166,,,,,8.263477469
152,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,27,27,6,,terrestrial,islands,perennial plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,24,1.07946334,0.047619048,1.029,km2,-0.561,0.265,,,,,8.263477469
153,Castella et al. 2001,Freshwater Biology 46: 1811-1831,northern,60.5,60.5,35,,water,streams,microbentos,zoobenthos,omnivores,pelagic larvae,,-1.584,no,independent,,log-log,38,0.457445576,0.028571429,1.195,km2,2.203,-0.168,0.059,0.003481,6.62324929,8.924279286,8.482508709
154,Castelló et al 1987,Misc Zool 11: 243-247,southern,-14.5,14.5,,66,water,lakes,freshwater fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,11,1.053077632,0.125,0.443,m2,0.443,0.211,0.056,0.003136,1.924455036,4.357690087,3.766275621
155,Chaloupka & Domm 1986,Ecology 67: 1536-1547,southern,-24,24,,152,terrestrial,marine,plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,10,1.068776975,0.142857143,1.344,ha,0.636,0.177,0.049,0.002401,4.301029996,6.021189299,5.400537989
156,Changeux 1998,"from Changeux 1998, Ital J Zool 65 Suppl: 305-311",northern,42,42,,9,water,streams,fish,fish,omnivores,mobility,nekton,2.426,no,,,log-log,21,,0.055555556,0.110744376,km2,-1.545255624,0.276,,,,,
157,Changeux 1998,"from Changeux 1998, Ital J Zool 65 Suppl: 305-311",,,,,,water,streams,fish,fish,omnivores,mobility,nekton,2.426,no,,,log-log,25,,0.045454545,0.332667419,km2,-1.323332581,0.276,,,,,
158,Changeux 1998,"from Changeux 1998, Ital J Zool 65 Suppl: 305-311",northern,45,45,,5,water,streams,fish,fish,omnivores,mobility,nekton,2.426,no,,,log-log,23,,0.05,0.586293755,km2,-0.757706245,0.224,,,,,
159,Chapman 1983,Afr J Ecol 21: 297-308,,,,,,terrestrial,forest,primates,mammals,omnivores,mobility,mobile,3.6444,no,independent,,log-log,25,0.778769737,0.045454545,0.094,km2,-0.962,0.176,0.043,0.001849,7.824704941,11.78936915,10.87863667
160,Cheylan 1984,Rev Ecol (Terre Vie) 39: 37-54,,,,,,terrestrial,islands,mammals,mammals,omnivores,mobility,mobile,2.8619,no,independent,,log-log,15,1.945910149,0.083333333,0.477,km2,-0.639,0.186,0.015,0.000225,5.176091259,10.41008518,9.629089061
164,Chiarucci et al 2001,Forest Ecology and Management 141:201-210,northern,43.5,43.5,,11,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,44,,0.024390244,1.075546961,m2,1.075546961,0.26,,,0,3.397940009,2.143298746
165,Chiarucci et al 2001,Forest Ecology and Management 141:201-210,northern,43.5,43.5,,11,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,44,,0.024390244,1.090610708,m2,1.090610708,0.262,,,0,3.397940009,2.143298746
166,Chiarucci et al 2001,Forest Ecology and Management 141:201-210,northern,43.5,43.5,,11,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,44,,0.024390244,0.637989781,m2,0.637989781,0.274,,,0,3.397940009,2.143298746
167,Chiarucci et al 2001,Forest Ecology and Management 141:201-210,northern,43.5,43.5,,11,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,44,,0.024390244,0.448242413,m2,0.448242413,0.3,,,0,3.397940009,2.143298746
168,Chiarucci et al 2001,Forest Ecology and Management 141:201-210,northern,43.5,43.5,,11,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,44,,0.024390244,0.472463897,m2,0.472463897,0.303,,,0,3.397940009,2.143298746
169,Chiarucci et al 2001,Forest Ecology and Management 141:201-210,northern,43.5,43.5,,11,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,44,,0.024390244,0.318480725,m2,0.318480725,0.303,,,0,3.397940009,2.143298746
170,Chittaro 2002,MEPS 233:253-261,northern,18,18,,-64.5,water,marine,coral reef fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,18,1.639208579,0.066666667,0.63,m2,0.63,0.42,,,0,2,1
171,Chittaro 2002,MEPS 233:253-261,northern,18,18,,-64.5,water,marine,coral reef fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,18,1.768075502,0.066666667,0.68,m2,0.68,0.43,,,0,2,1
172,Chittaro 2002,MEPS 233:253-261,northern,18,18,,-64.5,water,marine,coral reef fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,18,1.768075502,0.066666667,0.69,m2,0.69,0.47,,,0,2,1
173,Chittaro 2002,MEPS 233:253-261,northern,18,18,,-64.5,water,marine,coral reef fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,28,1.134058883,0.04,1.03,m2,1.03,0.24,,,-0.22184875,1.806179974,
174,Chittaro 2002,MEPS 233:253-261,northern,18,18,,-64.5,water,marine,coral reef fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,35,1.566799237,0.03125,0.6,m2,0.6,0.38,,,0,2.301029996,1.780214411
175,Chittaro 2002,MEPS 233:253-261,northern,18,18,,-64.5,water,marine,coral reef fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,35,1.566799237,0.03125,0.68,m2,0.68,0.39,,,0,2.301029996,1.780214411
176,Chittaro 2002,MEPS 233:253-261,northern,18,18,,-64.5,water,marine,coral reef fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,37,2.29243167,0.029411765,0.45,m2,0.45,0.45,,,0,2.301029996,1.756080731
177,Chittaro 2002,MEPS 233:253-261,northern,18,18,,-64.5,water,marine,coral reef fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,60,2.17827221,0.01754386,0.64,m2,0.64,0.42,,,0,2.301029996,1.729704621
178,Chittaro 2002,MEPS 233:253-261,northern,18,18,,-64.5,water,marine,coral reef fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,60,1.93538335,0.01754386,0.59,m2,0.59,0.43,,,0,2.301029996,1.729704621
179,Chittaro 2002,MEPS 233:253-261,northern,18,18,,-64.5,water,marine,coral reef fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,60,1.93538335,0.01754386,0.54,m2,0.54,0.45,,,0,2.301029996,1.729704621
180,Chittaro 2002,MEPS 233:253-261,northern,18,18,,-64.5,water,marine,coral reef fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,60,1.639208579,0.01754386,0.43,m2,0.43,0.48,,,0,2.301029996,1.729704621
181,Chittaro 2002,MEPS 233:253-261,northern,18,18,,-64.5,water,marine,coral reef fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,60,1.93538335,0.01754386,0.43,m2,0.43,0.48,,,0,2.301029996,1.729704621
182,Chittaro 2002,MEPS 233:253-261,northern,18,18,,-64.5,water,marine,coral reef fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,60,1.768075502,0.01754386,0.57,m2,0.57,0.49,,,0,2.301029996,1.729704621
183,Chittaro 2002,MEPS 233:253-261,northern,18,18,,-64.5,water,marine,coral reef fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,60,1.721831187,0.01754386,0.39,m2,0.39,0.52,,,0,2.301029996,1.729704621
184,Choi et al 1993,Bull Biogeogr Soc Japan 48: 37-49,,,,,,terrestrial,,ants,insects,omnivores,flying,mobile,-2.398,no,independent,,log-log,8,1.098612289,0.2,1.02,km2,-0.306,0.221,0.067,0.004489,8.127104798,10.89762709,10.32641268
185,Choi et al 1993,Bull Biogeogr Soc Japan 48: 37-49,,,,,,terrestrial,,ants,insects,omnivores,flying,mobile,-2.398,no,independent,,log-log,13,1.278182807,0.1,1.237,km2,0.319,0.153,0.028,0.000784,6.770852012,10.39142914,9.477227065
186,Claridge & Wilson 1982,Ecological Entomology 7: 19-30,,,,,,terrestrial,forest,leafminers,insects,herbivores,flying,mobile,-2.301,no,independent,,log-log,37,0.432010329,0.029411765,-0.604,km2,-2.404,0.3,0.114,0.012996,8.477121255,11.36995761,11.06863708
187,Clergeau et al. 2001,J Appl Ecol 38: 1122-1134,northern,37.5,37.5,59,,terrestrial,non-forest,periruban birds,birds,omnivores,flying,flying,1.62324929,no,independent,,log-log,15,0.387264981,0.083333333,0.936,km2,3.234,-0.383,0.268,0.071824,4.77815125,6.361727836,5.579783597
